Ion,Compound,Direction,Method,Distance,Energy,Cost_function
ces,aceh,scan_aceh_O2_trimer,qm,"[ 2.   2.1  2.2  2.3  2.4  2.5  2.6  2.7  2.8  2.9  3.   3.1  3.2  3.3
  3.4  3.5  3.6  3.7  3.8  3.9  4.   4.1  4.2  4.3  4.4  4.5  4.6  4.7
  4.8  4.9  5.   5.1  5.2  5.3  5.4  5.5  5.6  5.7  5.8  5.9  6.   6.1
  6.2  6.3  6.4  6.5  6.6  6.7  6.8  6.9  7.   7.1  7.2  7.3  7.4  7.5
  7.6  7.7  7.8  7.9  8.   8.1  8.2  8.3  8.4  8.5  8.6  8.7  8.8  8.9
  9.   9.1  9.2  9.3  9.4  9.5  9.6  9.7  9.8  9.9 10. ]","[ 9.3392252e+01  6.6497125e+01  4.6438656e+01  3.1610680e+01
  2.0754499e+01  1.2914614e+01  7.3366410e+00  3.4222240e+00
  7.1760400e-01 -1.1066060e+00 -2.2857220e+00 -2.9898940e+00
 -3.3466480e+00 -3.4557500e+00 -3.3965350e+00 -3.2299110e+00
 -2.9997520e+00 -2.7356900e+00 -2.4565660e+00 -2.1736400e+00
 -1.8933240e+00 -1.6194360e+00 -1.3548430e+00 -1.1023730e+00
 -8.6497900e-01 -6.4545500e-01 -4.4601300e-01 -2.6799100e-01
 -1.1177100e-01  2.3154000e-02  1.3803500e-01  2.3469800e-01
  3.1537900e-01  3.8255800e-01  4.3877500e-01  4.8647200e-01
  5.2783000e-01  5.6465900e-01  5.9833200e-01  6.2978000e-01
  6.5952300e-01  6.8774500e-01  7.1437800e-01  7.3920000e-01
  7.6191900e-01  7.8225000e-01  7.9996700e-01  8.1493400e-01
  8.2711400e-01  8.3656800e-01  8.4343000e-01  8.4789700e-01
  8.5019500e-01  8.5057200e-01  8.4927200e-01  8.4652900e-01
  8.4256200e-01  8.3756600e-01  8.3171200e-01  8.2515000e-01
  8.1801100e-01  8.1040500e-01  8.0242500e-01  7.9415100e-01
  7.8565000e-01  7.7697800e-01  7.6818400e-01  7.5930700e-01
  7.5038200e-01  7.4143500e-01  7.3249200e-01  7.2357000e-01
  7.1468700e-01  7.0585500e-01  6.9708600e-01  6.8838900e-01
  6.7977000e-01  6.7123500e-01  6.6279100e-01  6.5444000e-01
  6.4618500e-01]",0
ces,aceh,scan_aceh_O2_trimer,original,"[ 1.5  1.6  1.7  1.8  1.9  2.   2.1  2.2  2.3  2.4  2.5  2.6  2.7  2.8
  2.9  3.   3.1  3.2  3.3  3.4  3.5  3.6  3.7  3.8  3.9  4.   4.1  4.2
  4.3  4.4  4.5  4.6  4.7  4.8  4.9  5.   5.1  5.2  5.3  5.4  5.5  5.6
  5.7  5.8  5.9  6.   6.1  6.2  6.3  6.4  6.5  6.6  6.7  6.8  6.9  7.
  7.1  7.2  7.3  7.4  7.5  7.6  7.7  7.8  7.9  8.   8.1  8.2  8.3  8.4
  8.5  8.6  8.7  8.8  8.9  9.   9.1  9.2  9.3  9.4  9.5  9.6  9.7  9.8
  9.9 10. ]","[ 8.12719215e+03  4.56171491e+03  2.41360192e+03  1.25506846e+03
  6.56617103e+02  3.48412737e+02  1.87454056e+02  1.01390434e+02
  5.41867890e+01  2.78562230e+01  1.30079750e+01  4.61425600e+00
 -9.18650000e-02 -2.64829700e+00 -3.94001900e+00 -4.48377800e+00
 -4.58579700e+00 -4.43183000e+00 -4.13530600e+00 -3.76616000e+00
 -3.36743400e+00 -2.96542900e+00 -2.57579900e+00 -2.20747500e+00
 -1.86520200e+00 -1.55079400e+00 -1.26454400e+00 -1.00557600e+00
 -7.72472000e-01 -5.63485000e-01 -3.76674000e-01 -2.10110000e-01
 -6.19840000e-02  6.94780000e-02  1.85978000e-01  2.89010000e-01
  3.79993000e-01  4.60127000e-01  5.30591000e-01  5.92378000e-01
  6.46440000e-01  6.93599000e-01  7.34572000e-01  7.69964000e-01
  8.00553000e-01  8.26618000e-01  8.48870000e-01  8.67491000e-01
  8.83032000e-01  8.95772000e-01  9.06007000e-01  9.14007000e-01
  9.20012000e-01  9.24235000e-01  9.26871000e-01  9.28153000e-01
  9.28111000e-01  9.26882000e-01  9.24735000e-01  9.21673000e-01
  9.17838000e-01  9.13309000e-01  9.08164000e-01  9.02480000e-01
  8.96322000e-01  8.89748000e-01  8.82811000e-01  8.75561000e-01
  8.68040000e-01  8.60288000e-01  8.52338000e-01  8.44288000e-01
  8.35973000e-01  8.27613000e-01  8.19228000e-01  8.10713000e-01
  8.02150000e-01  7.93556000e-01  7.84946000e-01  7.76333000e-01
  7.67729000e-01  7.59146000e-01  7.50592000e-01  7.42063000e-01
  7.33595000e-01  7.25129000e-01]",8.804
ces,aceh,scan_aceh_O2_trimer,new,"[ 1.5  1.6  1.7  1.8  1.9  2.   2.1  2.2  2.3  2.4  2.5  2.6  2.7  2.8
  2.9  3.   3.1  3.2  3.3  3.4  3.5  3.6  3.7  3.8  3.9  4.   4.1  4.2
  4.3  4.4  4.5  4.6  4.7  4.8  4.9  5.   5.1  5.2  5.3  5.4  5.5  5.6
  5.7  5.8  5.9  6.   6.1  6.2  6.3  6.4  6.5  6.6  6.7  6.8  6.9  7.
  7.1  7.2  7.3  7.4  7.5  7.6  7.7  7.8  7.9  8.   8.1  8.2  8.3  8.4
  8.5  8.6  8.7  8.8  8.9  9.   9.1  9.2  9.3  9.4  9.5  9.6  9.7  9.8
  9.9 10. ]","[ 1.30615441e+04  8.13398897e+03  4.64835281e+03  2.53667770e+03
  1.36831298e+03  7.43042094e+02  4.09042182e+02  2.28037568e+02
  1.28025498e+02  7.17465180e+01  3.95741270e+01  2.09526060e+01
  1.01063590e+01  3.79833800e+00  1.81392000e-01 -1.82293900e+00
 -3.02087100e+00 -3.44521000e+00 -3.51998900e+00 -3.39029500e+00
 -3.14628300e+00 -2.84408500e+00 -2.51854400e+00 -2.19101300e+00
 -1.87400700e+00 -1.57484400e+00 -1.29718400e+00 -1.04247500e+00
 -8.10918000e-01 -6.01699000e-01 -4.13555000e-01 -2.45089000e-01
 -9.46770000e-02  3.91890000e-02  1.58068000e-01  2.63412000e-01
  3.56563000e-01  4.38750000e-01  5.11105000e-01  5.74668000e-01
  6.30264000e-01  6.78871000e-01  7.21153000e-01  7.57807000e-01
  7.89421000e-01  8.16531000e-01  8.39614000e-01  8.59100000e-01
  8.75369000e-01  8.88845000e-01  8.99599000e-01  9.08141000e-01
  9.14634000e-01  9.19302000e-01  9.22340000e-01  9.23926000e-01
  9.24218000e-01  9.23353000e-01  9.21543000e-01  9.18670000e-01
  9.15142000e-01  9.10821000e-01  9.05871000e-01  9.00361000e-01
  8.94365000e-01  8.87858000e-01  8.81058000e-01  8.73931000e-01
  8.66526000e-01  8.58879000e-01  8.51026000e-01  8.43002000e-01
  8.34834000e-01  8.26550000e-01  8.18172000e-01  8.09721000e-01
  8.01218000e-01  7.92680000e-01  7.84121000e-01  7.75556000e-01
  7.66997000e-01  7.58454000e-01  7.49939000e-01  7.41460000e-01
  7.33025000e-01  7.24640000e-01]",1.756
ces,aceh,scan_aceh_O6_trimer,qm,"[ 2.   2.1  2.2  2.3  2.4  2.5  2.6  2.7  2.8  2.9  3.   3.1  3.2  3.3
  3.4  3.5  3.6  3.7  3.8  3.9  4.   4.1  4.2  4.3  4.4  4.5  4.6  4.7
  4.8  4.9  5.   5.1  5.2  5.3  5.4  5.5  5.6  5.7  5.8  5.9  6.   6.1
  6.2  6.3  6.4  6.5  6.6  6.7  6.8  6.9  7.   7.1  7.2  7.3  7.4  7.5
  7.6  7.7  7.8  7.9  8.   8.1  8.2  8.3  8.4  8.5  8.6  8.7  8.8  8.9
  9.   9.1  9.2  9.3  9.4  9.5  9.6  9.7  9.8  9.9 10. ]","[ 60.596774  37.583773  20.917469   9.036743   0.738011  -4.890611
  -8.565258 -10.845436 -12.149103 -12.775509 -12.934352 -12.772953
 -12.397714 -11.888703 -11.307078 -10.697452 -10.089234  -9.499462
  -8.9366    -8.40377   -7.90089   -7.426218  -6.977625  -6.553498
  -6.153112  -5.776519  -5.424176  -5.09653   -4.793708  -4.515357
  -4.26061   -4.028136  -3.816246  -3.623015  -3.446404  -3.284376
  -3.134983  -2.996451  -2.867229  -2.746017  -2.631771  -2.523684
  -2.421154  -2.323735  -2.231099  -2.142998  -2.059234  -1.979632
  -1.904026  -1.832256  -1.764158  -1.699568  -1.638322  -1.580253
  -1.525198  -1.472995  -1.423486  -1.376518  -1.331943  -1.289618
  -1.249405  -1.211174  -1.174803  -1.140171  -1.107171  -1.075696
  -1.045651  -1.016945  -0.989493  -0.963217  -0.938045  -0.91391
  -0.890751  -0.868509  -0.847132  -0.826571  -0.806781  -0.78772
  -0.769349  -0.751633  -0.734537]",0
ces,aceh,scan_aceh_O6_trimer,original,"[ 1.5  1.6  1.7  1.8  1.9  2.   2.1  2.2  2.3  2.4  2.5  2.6  2.7  2.8
  2.9  3.   3.1  3.2  3.3  3.4  3.5  3.6  3.7  3.8  3.9  4.   4.1  4.2
  4.3  4.4  4.5  4.6  4.7  4.8  4.9  5.   5.1  5.2  5.3  5.4  5.5  5.6
  5.7  5.8  5.9  6.   6.1  6.2  6.3  6.4  6.5  6.6  6.7  6.8  6.9  7.
  7.1  7.2  7.3  7.4  7.5  7.6  7.7  7.8  7.9  8.   8.1  8.2  8.3  8.4
  8.5  8.6  8.7  8.8  8.9  9.   9.1  9.2  9.3  9.4  9.5  9.6  9.7  9.8
  9.9 10. ]","[ 8.98611028e+03  5.13225270e+03  2.73723230e+03  1.42011640e+03
  7.33736694e+02  3.80178538e+02  1.96519728e+02  9.92721570e+01
  4.69310340e+01  1.85481460e+01  3.16989900e+00 -5.04742300e+00
 -9.27199500e+00 -1.12541330e+01 -1.19762030e+01 -1.19969120e+01
 -1.16374810e+01 -1.10836580e+01 -1.04428320e+01 -9.77671400e+00
 -9.12006300e+00 -8.49163300e+00 -7.90078000e+00 -7.35119200e+00
 -6.84346100e+00 -6.37628700e+00 -5.94740100e+00 -5.55414100e+00
 -5.19361600e+00 -4.86304700e+00 -4.55972200e+00 -4.28118100e+00
 -4.02507900e+00 -3.78932600e+00 -3.57203000e+00 -3.37146200e+00
 -3.18607900e+00 -3.01449200e+00 -2.85545300e+00 -2.70784100e+00
 -2.57064600e+00 -2.44296400e+00 -2.32398100e+00 -2.21296200e+00
 -2.10924400e+00 -2.01223000e+00 -1.92137900e+00 -1.83620200e+00
 -1.75625700e+00 -1.68113900e+00 -1.61048500e+00 -1.54395900e+00
 -1.48126000e+00 -1.42211000e+00 -1.36625600e+00 -1.31346500e+00
 -1.26352800e+00 -1.21624700e+00 -1.17144600e+00 -1.12895800e+00
 -1.08863400e+00 -1.05033400e+00 -1.01392700e+00 -9.79297000e-01
 -9.46333000e-01 -9.14934000e-01 -8.85003000e-01 -8.56456000e-01
 -8.29210000e-01 -8.03189000e-01 -7.78324000e-01 -7.54549000e-01
 -7.31804000e-01 -7.10031000e-01 -6.89177000e-01 -6.69193000e-01
 -6.50033000e-01 -6.31654000e-01 -6.14012000e-01 -5.97073000e-01
 -5.80800000e-01 -5.65159000e-01 -5.50119000e-01 -5.35650000e-01
 -5.21725000e-01 -5.08317000e-01]",6.803
ces,aceh,scan_aceh_O6_trimer,new,"[ 1.5  1.6  1.7  1.8  1.9  2.   2.1  2.2  2.3  2.4  2.5  2.6  2.7  2.8
  2.9  3.   3.1  3.2  3.3  3.4  3.5  3.6  3.7  3.8  3.9  4.   4.1  4.2
  4.3  4.4  4.5  4.6  4.7  4.8  4.9  5.   5.1  5.2  5.3  5.4  5.5  5.6
  5.7  5.8  5.9  6.   6.1  6.2  6.3  6.4  6.5  6.6  6.7  6.8  6.9  7.
  7.1  7.2  7.3  7.4  7.5  7.6  7.7  7.8  7.9  8.   8.1  8.2  8.3  8.4
  8.5  8.6  8.7  8.8  8.9  9.   9.1  9.2  9.3  9.4  9.5  9.6  9.7  9.8
  9.9 10. ]","[ 8.85439595e+03  5.05149859e+03  2.69930699e+03  1.40709036e+03
  7.31677819e+02  3.81668248e+02  1.98533821e+02  1.01132097e+02
  4.85890280e+01  1.99432040e+01  4.28673500e+00 -4.18707100e+00
 -8.63116400e+00 -1.07942230e+01 -1.16614560e+01 -1.17964830e+01
 -1.15257090e+01 -1.10396650e+01 -1.04499740e+01 -9.82175900e+00
 -9.19260200e+00 -8.58348600e+00 -8.00561800e+00 -7.46419400e+00
 -6.96081500e+00 -6.49512200e+00 -6.06560200e+00 -5.67009300e+00
 -5.30618800e+00 -4.97142300e+00 -4.66336300e+00 -4.37971700e+00
 -4.11834600e+00 -3.87726100e+00 -3.65465700e+00 -3.44887700e+00
 -3.18869000e+00 -3.01691700e+00 -2.85770900e+00 -2.70994100e+00
 -2.57260500e+00 -2.44479100e+00 -2.32568700e+00 -2.21455500e+00
 -2.11073500e+00 -2.01362500e+00 -1.92268500e+00 -1.83742600e+00
 -1.75740400e+00 -1.68221500e+00 -1.61149500e+00 -1.54490800e+00
 -1.48215100e+00 -1.42294700e+00 -1.36704400e+00 -1.31420700e+00
 -1.26422400e+00 -1.21690400e+00 -1.17206500e+00 -1.12954100e+00
 -1.08918400e+00 -1.05085200e+00 -1.01441700e+00 -9.79759000e-01
 -9.46769000e-01 -9.15346000e-01 -8.85393000e-01 -8.56825000e-01
 -8.29559000e-01 -8.03520000e-01 -7.78637000e-01 -7.54846000e-01
 -7.32085000e-01 -7.10297000e-01 -6.89430000e-01 -6.69434000e-01
 -6.50261000e-01 -6.31871000e-01 -6.14218000e-01 -5.97269000e-01
 -5.80986000e-01 -5.65336000e-01 -5.50288000e-01 -5.35811000e-01
 -5.21878000e-01 -5.08463000e-01]",7.175
ces,aceh,scan_o1_120,qm,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[ 3.88476213e+02  2.89032211e+02  2.13365441e+02  1.55139909e+02
  1.10544401e+02  7.68700170e+01  5.18792350e+01  3.36340500e+01
  2.05043500e+01  1.12175510e+01  4.80443300e+00  4.99077000e-01
 -2.30153600e+00 -4.04904300e+00 -5.06512400e+00 -5.57261900e+00
 -5.72600000e+00 -5.63555100e+00 -5.38379200e+00 -5.03435100e+00
 -4.63533400e+00 -4.22060400e+00 -3.81162000e+00 -3.42025400e+00
 -3.05188200e+00 -2.70804000e+00 -2.38833600e+00 -2.09167600e+00
 -1.81692800e+00 -1.56323200e+00 -1.33005700e+00 -1.11708900e+00
 -9.24048000e-01 -7.50495000e-01 -5.95684000e-01 -4.58508000e-01
 -3.37528000e-01 -2.31071000e-01 -1.37344000e-01 -5.45620000e-02
  1.89450000e-02  8.46570000e-02  1.43817000e-01  1.97424000e-01
  2.46245000e-01  2.90841000e-01]",0
ces,aceh,scan_o1_120,original,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6.  6.  7.  8. ]","[ 8.07094786e+03  4.51321588e+03  2.37278773e+03  1.22010780e+03
  6.26734672e+02  3.23372324e+02  1.66815084e+02  8.46217140e+01
  4.06456400e+01  1.69284160e+01  4.18165400e+00 -2.53853000e+00
 -5.91383100e+00 -7.42254900e+00 -7.89355400e+00 -7.79680800e+00
 -7.40095700e+00 -6.86026400e+00 -6.26312800e+00 -5.65939600e+00
 -5.07648600e+00 -4.52838100e+00 -4.02155400e+00 -3.55773300e+00
 -3.13625200e+00 -2.75486700e+00 -2.41088600e+00 -2.10117100e+00
 -1.82266100e+00 -1.57237100e+00 -1.34751700e+00 -1.14552400e+00
 -9.64051000e-01 -8.00989000e-01 -6.54438000e-01 -5.22690000e-01
 -4.04226000e-01 -2.97684000e-01 -2.01846000e-01 -1.15627000e-01
 -3.80650000e-02  3.17090000e-02  9.44640000e-02  1.50889000e-01
  2.01607000e-01  2.47165000e-01  2.47165000e-01  5.06797000e-01
  5.76045000e-01]",2.838
ces,aceh,scan_o1_120,new,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6.  6.  7.  8. ]","[ 1.30061127e+04  8.08602659e+03  4.60713650e+03  2.50254915e+03
  1.33853546e+03  7.18180817e+02  3.88611121e+02  2.11420314e+02
  1.14578863e+02  6.08851700e+01  3.07870050e+01  1.38342290e+01
  4.30918700e+00 -9.56422000e-01 -3.75571500e+00 -5.32326500e+00
 -5.83491600e+00 -5.87290000e+00 -5.64725000e+00 -5.28311000e+00
 -4.85498300e+00 -4.40689100e+00 -3.96419700e+00 -3.54110600e+00
 -3.14491500e+00 -2.77877300e+00 -2.44340500e+00 -2.13799400e+00
 -1.86101300e+00 -1.61049900e+00 -1.38435000e+00 -1.18043800e+00
 -9.96726000e-01 -8.31295000e-01 -6.82367000e-01 -5.48316000e-01
 -4.27659000e-01 -3.19064000e-01 -2.21328000e-01 -1.33364000e-01
 -5.42040000e-02  1.70250000e-02  8.11020000e-02  1.38726000e-01
  1.90530000e-01  2.37071000e-01  2.37071000e-01  5.02618000e-01
  5.74143000e-01]",0.668
ces,aceh,scan_o1_lp,qm,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[ 4.21327899e+02  3.16356896e+02  2.35122625e+02  1.72339781e+02
  1.24374087e+02  8.82795530e+01  6.15191190e+01  4.19382250e+01
  2.77719140e+01  1.76401040e+01  1.04949260e+01  5.54156700e+00
  2.17690400e+00 -5.09520000e-02 -1.47384100e+00 -2.33078000e+00
 -2.79216300e+00 -2.98041900e+00 -2.98571100e+00 -2.87574700e+00
 -2.70068300e+00 -2.49561000e+00 -2.28273200e+00 -2.07414800e+00
 -1.87501200e+00 -1.68643900e+00 -1.50771600e+00 -1.33767900e+00
 -1.17544300e+00 -1.02075200e+00 -8.74060000e-01 -7.36412000e-01
 -6.09164000e-01 -4.93629000e-01 -3.90770000e-01 -3.01017000e-01
 -2.24216000e-01 -1.59695000e-01 -1.06375000e-01 -6.29000000e-02
 -2.77720000e-02  5.45000000e-04  2.35210000e-02  4.24880000e-02
  5.85860000e-02  7.27370000e-02]",0
