Cost Function Report
================================================================================
Ion       " "Compound  " "Method    " "Sum_Cost_function"
--------------------------------------------------------------------------------
ces         aceh       qm         0.0000     
ces         aceh       original   25.9740    
ces         aceh       new        15.9400    
ces         acem       qm         0.0000     
ces         acem       original   20.3850    
ces         acem       new        10.9510    
ces         acet       qm         0.0000     
ces         acet       original   61.2830    
ces         acet       new        55.2580    
ces         adeb       qm         0.0000     
ces         adeb       original   31.2900    
ces         adeb       new        20.0630    
ces         benz       qm         0.0000     
ces         benz       original   3.5190     
ces         benz       new        3.0780     
ces         cytb       qm         0.0000     
ces         cytb       original   16.8980    
ces         cytb       new        13.7140    
ces         dmds       qm         0.0000     
ces         dmds       original   53.5010    
ces         dmds       new        51.8980    
ces         dmpl       qm         0.0000     
ces         dmpl       original   180.6640   
ces         dmpl       new        148.4180   
ces         dms        qm         0.0000     
ces         dms        original   36.3030    
ces         dms        new        28.2180    
ces         guab       qm         0.0000     
ces         guab       original   42.0060    
ces         guab       new        35.6690    
ces         imid       qm         0.0000     
ces         imid       original   12.1960    
ces         imid       new        10.9580    
ces         indo       qm         0.0000     
ces         indo       original   11.0180    
ces         indo       new        9.7150     
ces         mam1       qm         0.0000     
ces         mam1       original   19.6030    
ces         mam1       new        13.1820    
ces         mas        qm         0.0000     
ces         mas        original   32.1520    
ces         mas        new        22.0920    
ces         meet       qm         0.0000     
ces         meet       original   35.5350    
ces         meet       new        35.0840    
ces         meoh       qm         0.0000     
ces         meoh       original   61.1440    
ces         meoh       new        59.5270    
ces         mes        qm         0.0000     
ces         mes        original   78.5120    
ces         mes        new        61.1150    
ces         mesh       qm         0.0000     
ces         mesh       original   106.4470   
ces         mesh       new        106.4470   
ces         nma        qm         0.0000     
ces         nma        original   12.1440    
ces         nma        new        8.7980     
ces         phen       qm         0.0000     
ces         phen       original   12.9330    
ces         phen       new        11.7280    
ces         phet       qm         0.0000     
ces         phet       original   47.6660    
ces         phet       new        24.1080    
ces         thyb       qm         0.0000     
ces         thyb       original   27.9300    
ces         thyb       new        28.0290    
ces         urab       qm         0.0000     
ces         urab       original   21.7010    
ces         urab       new        21.2390    
cla         imim       qm         0.0000     
cla         imim       original   92.4570    
cla         imim       new        67.4810    
cla         mguan      qm         0.0000     
cla         mguan      original   59.6760    
cla         mguan      new        42.0830    
cla         nc1        qm         0.0000     
cla         nc1        original   24057.0480 
cla         nc1        new        81.1880    
lit         aceh       qm         0.0000     
lit         aceh       original   4787.8960  
lit         aceh       new        259.7710   
lit         acem       qm         0.0000     
lit         acem       original   122.1340   
lit         acem       new        121.6730   
lit         acet       qm         0.0000     
lit         acet       original   178.0960   
lit         acet       new        114.2570   
lit         adeb       qm         0.0000     
lit         adeb       original   114.7010   
