Index1,Index2,Index3,Index4,Column1_Array,Column2_Array
ces,aceh,scan_aceh_O2_trimer,new,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000,6.100000,6.200000,
 6.300000,6.400000,6.500000,6.600000,6.700000,6.800000,6.900000,7.000000,
 7.100000,7.200000,7.300000,7.400000,7.500000,7.600000,7.700000,7.800000,
 7.900000,8.000000,8.100000,8.200000,8.300000,8.400000,8.500000,8.600000,
 8.700000,8.800000,8.900000,9.000000,9.100000,9.200000,9.300000,9.400000,
 9.500000,9.600000,9.700000,9.800000,9.900000,10.000000]","[13061.544100,8133.988970,4648.352810,2536.677700,1368.312980,743.042094,
 409.042182,228.037568,128.025498,71.746518,39.574127,20.952606,10.106359,
 3.798338,0.181392,-1.822939,-3.020871,-3.445210,-3.519989,-3.390295,
 -3.146283,-2.844085,-2.518544,-2.191013,-1.874007,-1.574844,-1.297184,
 -1.042475,-0.810918,-0.601699,-0.413555,-0.245089,-0.094677,0.039189,
 0.158068,0.263412,0.356563,0.438750,0.511105,0.574668,0.630264,0.678871,
 0.721153,0.757807,0.789421,0.816531,0.839614,0.859100,0.875369,0.888845,
 0.899599,0.908141,0.914634,0.919302,0.922340,0.923926,0.924218,0.923353,
 0.921543,0.918670,0.915142,0.910821,0.905871,0.900361,0.894365,0.887858,
 0.881058,0.873931,0.866526,0.858879,0.851026,0.843002,0.834834,0.826550,
 0.818172,0.809721,0.801218,0.792680,0.784121,0.775556,0.766997,0.758454,
 0.749939,0.741460,0.733025,0.724640]"
ces,aceh,scan_aceh_O2_trimer,original,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000,6.100000,6.200000,
 6.300000,6.400000,6.500000,6.600000,6.700000,6.800000,6.900000,7.000000,
 7.100000,7.200000,7.300000,7.400000,7.500000,7.600000,7.700000,7.800000,
 7.900000,8.000000,8.100000,8.200000,8.300000,8.400000,8.500000,8.600000,
 8.700000,8.800000,8.900000,9.000000,9.100000,9.200000,9.300000,9.400000,
 9.500000,9.600000,9.700000,9.800000,9.900000,10.000000]","[8127.192150,4561.714910,2413.601920,1255.068460,656.617103,348.412737,
 187.454056,101.390434,54.186789,27.856223,13.007975,4.614256,-0.091865,
 -2.648297,-3.940019,-4.483778,-4.585797,-4.431830,-4.135306,-3.766160,
 -3.367434,-2.965429,-2.575799,-2.207475,-1.865202,-1.550794,-1.264544,
 -1.005576,-0.772472,-0.563485,-0.376674,-0.210110,-0.061984,0.069478,
 0.185978,0.289010,0.379993,0.460127,0.530591,0.592378,0.646440,0.693599,
 0.734572,0.769964,0.800553,0.826618,0.848870,0.867491,0.883032,0.895772,
 0.906007,0.914007,0.920012,0.924235,0.926871,0.928153,0.928111,0.926882,
 0.924735,0.921673,0.917838,0.913309,0.908164,0.902480,0.896322,0.889748,
 0.882811,0.875561,0.868040,0.860288,0.852338,0.844288,0.835973,0.827613,
 0.819228,0.810713,0.802150,0.793556,0.784946,0.776333,0.767729,0.759146,
 0.750592,0.742063,0.733595,0.725129]"
ces,aceh,scan_aceh_O2_trimer,qm,"[2.000000,2.100000,2.200000,2.300000,2.400000,2.500000,2.600000,2.700000,
 2.800000,2.900000,3.000000,3.100000,3.200000,3.300000,3.400000,3.500000,
 3.600000,3.700000,3.800000,3.900000,4.000000,4.100000,4.200000,4.300000,
 4.400000,4.500000,4.600000,4.700000,4.800000,4.900000,5.000000,5.100000,
 5.200000,5.300000,5.400000,5.500000,5.600000,5.700000,5.800000,5.900000,
 6.000000,6.100000,6.200000,6.300000,6.400000,6.500000,6.600000,6.700000,
 6.800000,6.900000,7.000000,7.100000,7.200000,7.300000,7.400000,7.500000,
 7.600000,7.700000,7.800000,7.900000,8.000000,8.100000,8.200000,8.300000,
 8.400000,8.500000,8.600000,8.700000,8.800000,8.900000,9.000000,9.100000,
 9.200000,9.300000,9.400000,9.500000,9.600000,9.700000,9.800000,9.900000,
 10.000000]","[93.392252,66.497125,46.438656,31.610680,20.754499,12.914614,7.336641,
 3.422224,0.717604,-1.106606,-2.285722,-2.989894,-3.346648,-3.455750,
 -3.396535,-3.229911,-2.999752,-2.735690,-2.456566,-2.173640,-1.893324,
 -1.619436,-1.354843,-1.102373,-0.864979,-0.645455,-0.446013,-0.267991,
 -0.111771,0.023154,0.138035,0.234698,0.315379,0.382558,0.438775,0.486472,
 0.527830,0.564659,0.598332,0.629780,0.659523,0.687745,0.714378,0.739200,
 0.761919,0.782250,0.799967,0.814934,0.827114,0.836568,0.843430,0.847897,
 0.850195,0.850572,0.849272,0.846529,0.842562,0.837566,0.831712,0.825150,
 0.818011,0.810405,0.802425,0.794151,0.785650,0.776978,0.768184,0.759307,
 0.750382,0.741435,0.732492,0.723570,0.714687,0.705855,0.697086,0.688389,
 0.679770,0.671235,0.662791,0.654440,0.646185]"
ces,aceh,scan_aceh_O6_trimer,new,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000,6.100000,6.200000,
 6.300000,6.400000,6.500000,6.600000,6.700000,6.800000,6.900000,7.000000,
 7.100000,7.200000,7.300000,7.400000,7.500000,7.600000,7.700000,7.800000,
 7.900000,8.000000,8.100000,8.200000,8.300000,8.400000,8.500000,8.600000,
 8.700000,8.800000,8.900000,9.000000,9.100000,9.200000,9.300000,9.400000,
 9.500000,9.600000,9.700000,9.800000,9.900000,10.000000]","[8854.395950,5051.498590,2699.306990,1407.090360,731.677819,381.668248,
 198.533821,101.132097,48.589028,19.943204,4.286735,-4.187071,-8.631164,
 -10.794223,-11.661456,-11.796483,-11.525709,-11.039665,-10.449974,
 -9.821759,-9.192602,-8.583486,-8.005618,-7.464194,-6.960815,-6.495122,
 -6.065602,-5.670093,-5.306188,-4.971423,-4.663363,-4.379717,-4.118346,
 -3.877261,-3.654657,-3.448877,-3.188690,-3.016917,-2.857709,-2.709941,
 -2.572605,-2.444791,-2.325687,-2.214555,-2.110735,-2.013625,-1.922685,
 -1.837426,-1.757404,-1.682215,-1.611495,-1.544908,-1.482151,-1.422947,
 -1.367044,-1.314207,-1.264224,-1.216904,-1.172065,-1.129541,-1.089184,
 -1.050852,-1.014417,-0.979759,-0.946769,-0.915346,-0.885393,-0.856825,
 -0.829559,-0.803520,-0.778637,-0.754846,-0.732085,-0.710297,-0.689430,
 -0.669434,-0.650261,-0.631871,-0.614218,-0.597269,-0.580986,-0.565336,
 -0.550288,-0.535811,-0.521878,-0.508463]"
ces,aceh,scan_aceh_O6_trimer,original,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000,6.100000,6.200000,
 6.300000,6.400000,6.500000,6.600000,6.700000,6.800000,6.900000,7.000000,
 7.100000,7.200000,7.300000,7.400000,7.500000,7.600000,7.700000,7.800000,
 7.900000,8.000000,8.100000,8.200000,8.300000,8.400000,8.500000,8.600000,
 8.700000,8.800000,8.900000,9.000000,9.100000,9.200000,9.300000,9.400000,
 9.500000,9.600000,9.700000,9.800000,9.900000,10.000000]","[8986.110280,5132.252700,2737.232300,1420.116400,733.736694,380.178538,
 196.519728,99.272157,46.931034,18.548146,3.169899,-5.047423,-9.271995,
 -11.254133,-11.976203,-11.996912,-11.637481,-11.083658,-10.442832,
 -9.776714,-9.120063,-8.491633,-7.900780,-7.351192,-6.843461,-6.376287,
 -5.947401,-5.554141,-5.193616,-4.863047,-4.559722,-4.281181,-4.025079,
 -3.789326,-3.572030,-3.371462,-3.186079,-3.014492,-2.855453,-2.707841,
 -2.570646,-2.442964,-2.323981,-2.212962,-2.109244,-2.012230,-1.921379,
 -1.836202,-1.756257,-1.681139,-1.610485,-1.543959,-1.481260,-1.422110,
 -1.366256,-1.313465,-1.263528,-1.216247,-1.171446,-1.128958,-1.088634,
 -1.050334,-1.013927,-0.979297,-0.946333,-0.914934,-0.885003,-0.856456,
 -0.829210,-0.803189,-0.778324,-0.754549,-0.731804,-0.710031,-0.689177,
 -0.669193,-0.650033,-0.631654,-0.614012,-0.597073,-0.580800,-0.565159,
 -0.550119,-0.535650,-0.521725,-0.508317]"
ces,aceh,scan_aceh_O6_trimer,qm,"[2.000000,2.100000,2.200000,2.300000,2.400000,2.500000,2.600000,2.700000,
 2.800000,2.900000,3.000000,3.100000,3.200000,3.300000,3.400000,3.500000,
 3.600000,3.700000,3.800000,3.900000,4.000000,4.100000,4.200000,4.300000,
 4.400000,4.500000,4.600000,4.700000,4.800000,4.900000,5.000000,5.100000,
 5.200000,5.300000,5.400000,5.500000,5.600000,5.700000,5.800000,5.900000,
 6.000000,6.100000,6.200000,6.300000,6.400000,6.500000,6.600000,6.700000,
 6.800000,6.900000,7.000000,7.100000,7.200000,7.300000,7.400000,7.500000,
 7.600000,7.700000,7.800000,7.900000,8.000000,8.100000,8.200000,8.300000,
 8.400000,8.500000,8.600000,8.700000,8.800000,8.900000,9.000000,9.100000,
 9.200000,9.300000,9.400000,9.500000,9.600000,9.700000,9.800000,9.900000,
 10.000000]","[60.596774,37.583773,20.917469,9.036743,0.738011,-4.890611,-8.565258,
 -10.845436,-12.149103,-12.775509,-12.934352,-12.772953,-12.397714,
 -11.888703,-11.307078,-10.697452,-10.089234,-9.499462,-8.936600,-8.403770,
 -7.900890,-7.426218,-6.977625,-6.553498,-6.153112,-5.776519,-5.424176,
 -5.096530,-4.793708,-4.515357,-4.260610,-4.028136,-3.816246,-3.623015,
 -3.446404,-3.284376,-3.134983,-2.996451,-2.867229,-2.746017,-2.631771,
 -2.523684,-2.421154,-2.323735,-2.231099,-2.142998,-2.059234,-1.979632,
 -1.904026,-1.832256,-1.764158,-1.699568,-1.638322,-1.580253,-1.525198,
 -1.472995,-1.423486,-1.376518,-1.331943,-1.289618,-1.249405,-1.211174,
 -1.174803,-1.140171,-1.107171,-1.075696,-1.045651,-1.016945,-0.989493,
 -0.963217,-0.938045,-0.913910,-0.890751,-0.868509,-0.847132,-0.826571,
 -0.806781,-0.787720,-0.769349,-0.751633,-0.734537]"
ces,aceh,scan_o1_120,new,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000,6.000000,7.000000,
 8.000000]","[13006.112700,8086.026590,4607.136500,2502.549150,1338.535460,718.180817,
 388.611121,211.420314,114.578863,60.885170,30.787005,13.834229,4.309187,
 -0.956422,-3.755715,-5.323265,-5.834916,-5.872900,-5.647250,-5.283110,
 -4.854983,-4.406891,-3.964197,-3.541106,-3.144915,-2.778773,-2.443405,
 -2.137994,-1.861013,-1.610499,-1.384350,-1.180438,-0.996726,-0.831295,
 -0.682367,-0.548316,-0.427659,-0.319064,-0.221328,-0.133364,-0.054204,
 0.017025,0.081102,0.138726,0.190530,0.237071,0.237071,0.502618,0.574143]"
ces,aceh,scan_o1_120,original,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000,6.000000,7.000000,
 8.000000]","[8070.947860,4513.215880,2372.787730,1220.107800,626.734672,323.372324,
 166.815084,84.621714,40.645640,16.928416,4.181654,-2.538530,-5.913831,
 -7.422549,-7.893554,-7.796808,-7.400957,-6.860264,-6.263128,-5.659396,
 -5.076486,-4.528381,-4.021554,-3.557733,-3.136252,-2.754867,-2.410886,
 -2.101171,-1.822661,-1.572371,-1.347517,-1.145524,-0.964051,-0.800989,
 -0.654438,-0.522690,-0.404226,-0.297684,-0.201846,-0.115627,-0.038065,
 0.031709,0.094464,0.150889,0.201607,0.247165,0.247165,0.506797,0.576045]"
ces,aceh,scan_o1_120,qm,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000]","[388.476213,289.032211,213.365441,155.139909,110.544401,76.870017,
 51.879235,33.634050,20.504350,11.217551,4.804433,0.499077,-2.301536,
 -4.049043,-5.065124,-5.572619,-5.726000,-5.635551,-5.383792,-5.034351,
 -4.635334,-4.220604,-3.811620,-3.420254,-3.051882,-2.708040,-2.388336,
 -2.091676,-1.816928,-1.563232,-1.330057,-1.117089,-0.924048,-0.750495,
 -0.595684,-0.458508,-0.337528,-0.231071,-0.137344,-0.054562,0.018945,
 0.084657,0.143817,0.197424,0.246245,0.290841]"
ces,aceh,scan_o1_lp,new,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000,6.000000,7.000000,
 8.000000]","[13005.797600,8086.510590,4608.450290,2503.713820,1339.979110,720.108999,
 390.885386,214.318823,118.137440,64.737022,34.688318,17.633415,7.927280,
 2.438282,-0.610754,-2.236988,-3.032376,-3.345143,-3.381617,-3.264854,
 -3.068219,-2.835292,-2.591622,-2.498395,-2.255976,-2.030843,-1.824403,
 -1.636671,-1.466886,-1.313877,-1.176299,-1.052758,-0.941893,-0.842425,
 -0.753170,-0.673046,-0.601081,-0.536400,-0.478223,-0.425853,-0.378675,
 -0.336138,-0.297754,-0.263091,-0.231763,-0.203431,-0.203431,-0.031804,
 0.033491]"
