Data Summary Report
================================================================================
Index1  Index2  Index3                   Size  Min        Max       
--------------------------------------------------------------------------------
 acet      LI    bisector               46      1.5000      6.0000    
 acet      LI    120                    46      1.5000      6.0000    
 acet      LI    180                    46      1.5000      6.0000    
 acet      LI    perp                   46      1.5000      6.0000    
 acet      LI    acet_O_trimer          66      1.5000      8.0000    
 acet      LI    acet_O_tetramer        66      3.5000      10.0000   
 acet      NA    bisector               46      1.5000      6.0000    
 acet      NA    120                    46      1.5000      6.0000    
 acet      NA    180                    46      1.5000      6.0000    
 acet      NA    perp                   46      1.5000      6.0000    
 acet      NA    acet_O_trimer          86      1.5000      10.0000   
 acet      NA    acet_O_tetramer        86      1.5000      10.0000   
 acet      K     bisector               46      1.5000      6.0000    
 acet      K     120                    46      1.5000      6.0000    
 acet      K     180                    46      1.5000      6.0000    
 acet      K     perp                   46      1.5000      6.0000    
 acet      K     acet_O_trimer          86      1.5000      10.0000   
 acet      K     acet_O_tetramer        86      1.5000      10.0000   
 acet      RB    bisector               46      1.5000      6.0000    
 acet      RB    120                    46      1.5000      6.0000    
 acet      RB    180                    46      1.5000      6.0000    
 acet      RB    perp                   37      2.4000      6.0000    
 acet      RB    acet_O_trimer          66      1.5000      8.0000    
 acet      RB    acet_O_tetramer        58      2.3000      8.0000    
 acet      CS    bisector               46      1.5000      6.0000    
 acet      CS    120                    41      2.0000      6.0000    
 acet      CS    180                    46      1.5000      6.0000    
 acet      CS    perp                   46      1.5000      6.0000    
 acet      CS    acet_O_trimer          66      1.5000      8.0000    
 acet      CS    acet_O_tetramer        66      3.5000      10.0000   
 aceh      LI    o1_lp                  46      1.5000      6.0000    
 aceh      LI    o1_120                 46      1.5000      6.0000    
 aceh      LI    o1_oh                  46      1.5000      6.0000    
 aceh      LI    o2_180                 46      1.5000      6.0000    
 aceh      LI    o2_120                 46      1.5000      6.0000    
 aceh      LI    o2_perp                46      1.5000      6.0000    
 aceh      LI    aceh_O2_trimer         86      1.5000      10.0000   
 aceh      LI    aceh_O2_tetramer       86      1.5000      10.0000   
 aceh      LI    aceh_O6_trimer         86      1.5000      10.0000   
 aceh      LI    aceh_O6_tetramer       86      1.5000      10.0000   
 aceh      NA    o1_lp                  46      1.5000      6.0000    
 aceh      NA    o1_120                 46      1.5000      6.0000    
 aceh      NA    o1_oh                  46      1.5000      6.0000    
 aceh      NA    o2_180                 46      1.5000      6.0000    
 aceh      NA    o2_120                 46      1.5000      6.0000    
 aceh      NA    o2_perp                46      1.5000      6.0000    
 aceh      NA    aceh_O2_trimer         86      1.5000      10.0000   
 aceh      NA    aceh_O2_tetramer       86      1.5000      10.0000   
 aceh      NA    aceh_O6_trimer         86      1.5000      10.0000   
 aceh      NA    aceh_O6_tetramer       86      1.5000      10.0000   
 aceh      K     o1_lp                  46      1.5000      6.0000    
 aceh      K     o1_120                 46      1.5000      6.0000    
 aceh      K     o1_oh                  46      1.5000      6.0000    
 aceh      K     o2_180                 46      1.5000      6.0000    
 aceh      K     o2_120                 46      1.5000      6.0000    
 aceh      K     o2_perp                46      1.5000      6.0000    
 aceh      K     aceh_O2_trimer         86      1.5000      10.0000   
 aceh      K     aceh_O2_tetramer       86      1.5000      10.0000   
 aceh      K     aceh_O6_trimer         86      1.5000      10.0000   
 aceh      K     aceh_O6_tetramer       86      1.5000      10.0000   
 aceh      RB    o1_lp                  46      1.5000      6.0000    
 aceh      RB    o1_120                 46      1.5000      6.0000    
 aceh      RB    o1_oh                  46      1.5000      6.0000    
 aceh      RB    o2_180                 46      1.5000      6.0000    
 aceh      RB    o2_120                 46      1.5000      6.0000    
 aceh      RB    o2_perp                46      1.5000      6.0000    
 aceh      RB    aceh_O2_trimer         86      1.5000      10.0000   
 aceh      RB    aceh_O2_tetramer       86      1.5000      10.0000   
 aceh      RB    aceh_O6_trimer         81      2.0000      10.0000   
 aceh      RB    aceh_O6_tetramer       81      2.0000      10.0000   
 aceh      CS    o1_lp                  46      1.5000      6.0000    
 aceh      CS    o1_120                 46      1.5000      6.0000    
 aceh      CS    o1_oh                  46      1.5000      6.0000    
 aceh      CS    o2_180                 46      1.5000      6.0000    
 aceh      CS    o2_120                 46      1.5000      6.0000    
 aceh      CS    o2_perp                46      1.5000      6.0000    
 aceh      CS    aceh_O2_trimer         81      2.0000      10.0000   
 aceh      CS    aceh_O2_tetramer       0       0.0000      0.0000    
 aceh      CS    aceh_O6_trimer         81      2.0000      10.0000   
 aceh      CS    aceh_O6_tetramer       0       0.0000      0.0000    
 acem      LI    120                    46      1.5000      6.0000    
 acem      LI    180                    46      1.5000      6.0000    
 acem      LI    perp                   46      1.5000      6.0000    
 acem      LI    nsp2                   46      1.5000      6.0000    
 acem      LI    acem_O_trimer          86      1.5000      10.0000   
 acem      LI    acem_O_tetramer        86      1.5000      10.0000   
 acem      NA    120                    46      1.5000      6.0000    
 acem      NA    180                    46      1.5000      6.0000    
 acem      NA    perp                   46      1.5000      6.0000    
 acem      NA    nsp2                   46      1.5000      6.0000    
 acem      NA    acem_O_trimer          86      1.5000      10.0000   
 acem      NA    acem_O_tetramer        86      1.5000      10.0000   
 acem      K     120                    46      1.5000      6.0000    
 acem      K     180                    46      1.5000      6.0000    
 acem      K     perp                   46      1.5000      6.0000    
 acem      K     nsp2                   46      1.5000      6.0000    
 acem      K     acem_O_trimer          86      1.5000      10.0000   
 acem      K     acem_O_tetramer        86      1.5000      10.0000   
 acem      RB    120                    46      1.5000      6.0000    
 acem      RB    180                    46      1.5000      6.0000    
 acem      RB    perp                   46      1.5000      6.0000    
 acem      RB    nsp2                   46      1.5000      6.0000    
 acem      RB    acem_O_trimer          86      1.5000      10.0000   
 acem      RB    acem_O_tetramer        86      1.5000      10.0000   
 acem      CS    120                    46      1.5000      6.0000    
 acem      CS    180                    46      1.5000      6.0000    
 acem      CS    perp                   46      1.5000      6.0000    
 acem      CS    nsp2                   46      1.5000      6.0000    
 acem      CS    acem_O_trimer          86      1.5000      10.0000   
 acem      CS    acem_O_tetramer        0       0.0000      0.0000    
 benz      LI    pi                     46      1.5000      6.0000    
 benz      LI    benz_center_trimer     86      1.5000      10.0000   
 benz      LI    benz_center_tetramer   86      1.5000      10.0000   
 benz      NA    pi                     46      1.5000      6.0000    
 benz      NA    benz_center_trimer     86      1.5000      10.0000   
 benz      NA    benz_center_tetramer   86      1.5000      10.0000   
 benz      K     pi                     46      1.5000      6.0000    
 benz      K     benz_center_trimer     86      1.5000      10.0000   
 benz      K     benz_center_tetramer   86      1.5000      10.0000   
 benz      RB    pi                     45      1.5000      5.9000    
 benz      RB    benz_center_trimer     0       0.0000      0.0000    
 benz      RB    benz_center_tetramer   46      1.5000      6.0000    
 benz      CS    pi                     46      1.5000      6.0000    
 benz      CS    benz_center_trimer     0       0.0000      0.0000    
 benz      CS    benz_center_tetramer   0       0.0000      0.0000    
 dmds      LI    lp                     46      1.5000      6.0000    
 dmds      LI    bisector               46      1.5000      6.0000    
 dmds      LI    dmds_S_trimer          86      1.5000      10.0000   
 dmds      LI    dmds_S_tetramer        76      2.5000      10.0000   
 dmds      NA    lp                     46      1.5000      6.0000    
 dmds      NA    bisector               46      1.5000      6.0000    
 dmds      NA    dmds_S_trimer          86      1.5000      10.0000   
 dmds      NA    dmds_S_tetramer        86      1.5000      10.0000   
 dmds      K     lp                     46      1.5000      6.0000    
 dmds      K     bisector               46      1.5000      6.0000    
 dmds      K     dmds_S_trimer          86      1.5000      10.0000   
 dmds      K     dmds_S_tetramer        76      2.5000      10.0000   
 dmds      RB    lp                     45      1.5000      5.9000    
 dmds      RB    bisector               44      1.5000      5.8000    
 dmds      RB    dmds_S_trimer          86      1.5000      10.0000   
 dmds      RB    dmds_S_tetramer        86      1.5000      10.0000   
 dmds      CS    lp                     46      1.5000      6.0000    
 dmds      CS    bisector               46      1.5000      6.0000    
 dmds      CS    dmds_S_trimer          0       0.0000      0.0000    
