Index1,Index2,Index3,Value1,Value2
acet,LI,bisector,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[-113.397986 -135.918269 -151.042226 -160.655538 -166.179978 -168.68565
 -168.979123 -167.668213 -165.210473 -161.949948 -158.145103 -153.989944
 -149.629787 -145.173042 -140.70009  -136.269933 -131.925208 -127.696042
 -123.602949 -119.659085 -115.871945 -112.244717 -108.777386 -105.467582
 -102.311298  -99.303438  -96.43819   -93.709416  -91.110754  -88.635834
  -86.278365  -84.032182  -81.891306  -79.849951  -77.902569  -76.04385
  -74.268756  -72.572509  -70.950591  -69.398795  -67.913144  -66.489942
  -65.125735  -63.817288  -62.561592  -61.355884]"
acet,LI,120,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[-138.71848  -144.532161 -146.210876 -145.301681 -142.801067 -139.350797
 -135.366228 -131.117118 -126.778201 -122.461552 -118.237953 -114.150892
 -110.225744 -106.475854 -102.906579  -99.517969  -96.306641  -93.267012
  -90.392108  -87.674119  -85.104761  -82.675537  -80.377913  -78.203523
  -76.144288  -74.192566  -72.341107  -70.583188  -68.912497  -67.32315
  -65.809674  -64.366986  -62.990334  -61.675397  -60.418175  -59.214969
  -58.062476  -56.957614  -55.897604  -54.879936  -53.902234  -52.962317
  -52.05817   -51.18789   -50.349624  -49.541666]"
acet,LI,180,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[-147.470767 -150.85276  -150.550601 -148.026546 -144.215386 -139.70766
 -134.876    -129.956652 -125.097576 -120.388538 -115.880969 -111.601222
 -107.559441 -103.75532  -100.181989  -96.828699  -93.682566  -90.729825
  -87.956532  -85.349156  -82.894739  -80.58124   -78.397456  -76.33326
  -74.379425  -72.527702  -70.770714  -69.101755  -67.51479   -66.004344
  -64.565326  -63.193092  -61.883301  -60.631883  -59.435096  -58.289427
  -57.191595  -56.138553  -55.127543  -54.155949  -53.221399  -52.321709
  -51.454849  -50.61895   -49.81224   -49.033146]"
acet,LI,perp,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[-133.231635 -140.367853 -143.24204  -143.382334 -141.784557 -139.101914
 -135.765655 -132.061908 -128.181048 -124.249538 -120.350918 -116.539611
 -112.850177 -109.303422 -105.910676 -102.676556  -99.601169  -96.681404
  -93.912115  -91.286792  -88.798099  -86.438338  -84.199747  -82.074644
  -80.055645  -78.135668  -76.308101  -74.566708  -72.905687  -71.319662
  -69.803658  -68.353133  -66.963862  -65.632047  -64.354142  -63.126953
  -61.94749   -60.813063  -59.721129  -58.669393  -57.655654  -56.677891
  -55.734185  -54.822789  -53.941988  -53.090209]"
acet,LI,acet_O_trimer,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6.  6.1 6.2 6.3 6.4 6.5 6.6 6.7 6.8
 6.9 7.  7.1 7.2 7.3 7.4 7.5 7.6 7.7 7.8 7.9 8. ]","[ 42.485747  11.278387 -11.181858 -27.04518  -37.954545 -45.15873
 -49.608951 -52.031347 -52.977851 -52.86554  -52.007741 -50.63873
 -48.93278  -47.018725 -44.991313 -42.919507 -40.852893 -38.826407
 -36.863963 -34.981051 -33.186894 -31.486078 -29.879889 -28.367242
 -26.945502 -25.610956 -24.359168 -23.185448 -22.08505  -21.053198
 -20.085363 -19.17718  -18.324491 -17.523447 -16.770353 -16.061853
 -15.394744 -14.766077 -14.17319  -13.613574 -13.084972 -12.58527
 -12.112581 -11.665124 -11.241294 -10.839595 -10.458653 -10.097189
  -9.754034  -9.428084  -9.118286  -8.823662  -8.543285  -8.276264
  -8.021799  -7.779106  -7.547446  -7.326129  -7.114517  -6.912027
  -6.718143  -6.532284  -6.35403   -6.182963  -6.018658  -5.86076 ]"
acet,LI,acet_O_tetramer,"[ 3.5  3.6  3.7  3.8  3.9  4.   4.1  4.2  4.3  4.4  4.5  4.6  4.7  4.8
  4.9  5.   5.1  5.2  5.3  5.4  5.5  5.6  5.7  5.8  5.9  6.   6.1  6.2
  6.3  6.4  6.5  6.6  6.7  6.8  6.9  7.   7.1  7.2  7.3  7.4  7.5  7.6
  7.7  7.8  7.9  8.   8.1  8.2  8.3  8.4  8.5  8.6  8.7  8.8  8.9  9.
  9.1  9.2  9.3  9.4  9.5  9.6  9.7  9.8  9.9 10. ]","[ -93.152562 -121.122154 -142.001698 -157.195632 -167.836161 -174.840245
 -178.953712 -180.785692 -180.834219 -179.505713 -177.130287 -173.974909
 -170.253781 -166.137933 -161.763042 -157.235862 -152.639752 -148.039278
 -143.483593 -139.00985  -134.645273 -130.409335 -126.315145 -122.370876
 -118.580586 -114.945487 -111.464494 -108.134822 -104.95273  -101.913595
  -99.01231   -96.243484  -93.601358  -91.080193  -88.674168  -86.3775
  -84.184543  -82.089919  -80.088339  -78.174841  -76.3447    -74.593468
  -72.9169    -71.311066  -69.772197  -68.296873  -66.881788  -65.523826
  -64.220167  -62.967996  -61.764782  -60.607985  -59.495284  -58.424385
  -57.393054  -56.399269  -55.44088   -54.516079  -53.622964  -52.759803
  -51.925035  -51.11707   -50.334521  -49.57609   -48.840572  -48.126828]"
acet,NAT,bisector,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[ 129.856847   46.079164  -15.399762  -59.569171  -90.675538 -112.073015
 -126.302061 -135.287072 -140.460423 -142.870658 -143.30503  -142.350125
 -140.428752 -137.845952 -134.824325 -131.526984 -128.073223 -124.549786
 -121.019263 -117.526311 -114.102419 -110.769353 -107.541604 -104.428205
 -101.434142  -98.561386  -95.809741  -93.177387  -90.661375  -88.257895
  -85.962572  -83.770722  -81.677456  -79.677905  -77.767246  -75.940837
  -74.194187  -72.523033  -70.923298  -69.39108   -67.922705  -66.514661
  -65.163607  -63.866396  -62.62007   -61.421807]"
acet,NAT,120,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[ -39.514239  -75.232291  -97.218614 -110.203342 -117.294222 -120.545565
 -121.314642 -120.483605 -118.63023  -116.142232 -113.281274 -110.223126
 -107.085129 -103.945048 -100.853837  -97.844186  -94.936229  -92.141423
  -89.465262  -86.90918   -84.471968  -82.150725  -79.941484  -77.839685
  -75.840413  -73.938545  -72.128919  -70.406422  -68.766017  -67.202806
  -65.712136  -64.289559  -62.930841  -61.632064  -60.389527  -59.199725
  -58.059461  -56.965691  -55.915592  -54.906571  -53.936204  -53.002192
  -52.102484  -51.235181  -50.398472  -49.590752]"
acet,NAT,180,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[ -57.615087  -89.061338 -107.766875 -118.17427  -123.200663 -124.775218
 -124.180267 -122.246522 -119.502941 -116.301006 -112.874937 -109.377335
 -105.905469 -102.519666  -99.255674  -96.132988  -93.160279  -90.339109
  -87.666528  -85.136816  -82.742796  -80.476635  -78.330383  -76.296312
  -74.366992  -72.535394  -70.79496   -69.139567  -67.563533  -66.061608
  -64.628917  -63.261003  -61.953728  -60.703249  -59.506058  -58.358882
  -57.258738  -56.202766  -55.188391  -54.213189  -53.274854  -52.371283
  -51.500523  -50.660742  -49.85021   -49.067353]"
acet,NAT,perp,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[ -30.298019  -68.232206  -92.185529 -106.838663 -115.321439 -119.721234
 -121.424325 -121.346195 -120.100129 -118.103544 -115.641505 -112.908319
 -110.036133 -107.1145   -104.203674 -101.343777  -98.560726  -95.870482
  -93.282086  -90.799607  -88.423842  -86.153407  -83.985405  -81.916072
  -79.941091  -78.055854  -76.255653  -74.535784  -72.891709  -71.318987
  -69.81348   -68.371236  -66.988513  -65.661875  -64.388066  -63.164067
  -61.987049  -60.854349  -59.763526  -58.712279  -57.698471  -56.720095
  -55.775326  -54.862377  -53.979682  -53.125695]"
