Index1,Index2,Index3,Value1,Value2
imim,CL,180,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[ -97.884097 -103.726915 -106.497125 -107.190554 -106.495537 -104.890171
 -102.706991 -100.177078  -97.460393  -94.666768  -91.870608  -89.121363
  -86.451031  -83.879488  -81.418139  -79.07238   -76.843289  -74.728887
  -72.725134  -70.826722  -69.027665  -67.321728  -65.702684  -64.164533
  -62.701575  -61.308526  -59.980527  -58.713187  -57.502567  -56.34515
  -55.237807  -54.177737  -53.162422  -52.189553  -51.256985  -50.362682
  -49.504686  -48.681086  -47.890007  -47.129611  -46.398098  -45.693722
  -45.014806  -44.359749  -43.727048  -43.115295]"
imim,CL,perp,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[157.022463 115.684877  69.627672  30.333379  -0.228038 -25.004472
 -44.508518 -59.277862 -70.085211 -77.723281 -82.895256 -86.183936
 -88.054994 -88.872284 -88.915675 -88.397998 -87.479758 -86.281355
 -84.892726 -83.380777 -81.795028 -80.171886 -78.537936 -76.912404
 -75.309031 -73.737469 -72.204311 -70.713861 -69.268745 -67.870325
 -66.519067 -65.214801 -63.95692  -62.744507 -61.576443 -60.451456
 -59.36816  -58.32508  -57.32066  -56.353279 -55.421263 -54.522904
 -53.656481 -52.820279 -52.012615 -51.23186 ]"
imim,CL,pi,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[263.668403 185.702887 120.294755  67.383277  25.590815  -6.788171
 -31.434513 -49.863145 -63.373703 -73.046086 -79.757472 -84.208314
 -86.950434 -88.413723 -88.929838 -88.752559 -88.074648 -87.041624
 -85.762748 -84.319684 -82.773152 -81.168037 -79.537226 -77.90457
 -76.287067 -74.69661  -73.141303 -71.626472 -70.155433 -68.73006
 -67.351206 -66.019001 -64.733077 -63.492715 -62.296958 -61.144679
 -60.034628 -58.965456 -57.935726 -56.943929 -55.988481 -55.067746
 -54.180043 -53.323675 -52.496948 -51.6982  ]"
imim,CL,imim_N_trimer,"[ 2.5  2.6  2.7  2.8  2.9  3.   3.1  3.2  3.3  3.4  3.5  3.6  3.7  3.8
  3.9  4.   4.1  4.2  4.3  4.4  4.5  4.6  4.7  4.8  4.9  5.   5.1  5.2
  5.3  5.4  5.5  5.6  5.7  5.8  5.9  6.   6.1  6.2  6.3  6.4  6.5  6.6
  6.7  6.8  6.9  7.   7.1  7.2  7.3  7.4  7.5  7.6  7.7  7.8  7.9  8.
  8.1  8.2  8.3  8.4  8.5  8.6  8.7  8.8  8.9  9.   9.1  9.2  9.3  9.4
  9.5  9.6  9.7  9.8  9.9 10. ]","[-25.90432  -34.536382 -39.581716 -42.202483 -43.193787 -43.104529
 -42.314911 -41.088269 -39.606314 -37.99356  -36.334157 -34.683949
 -33.078748 -31.540522 -30.081686 -28.708038 -27.420947 -26.218763
 -25.097873 -24.053489 -23.080203 -22.172477 -21.324776 -20.531942
 -19.789175 -19.092132 -18.436814 -17.81973  -17.237689 -16.68785
 -16.167666 -15.674827 -15.20724  -14.763104 -14.340672 -13.938448
 -13.555073 -13.189299 -12.840006 -12.506128 -12.186744 -11.880985
 -11.588005 -11.307075 -11.037452 -10.778496 -10.529554 -10.290065
 -10.059507  -9.837345  -9.623162  -9.416464  -9.216928  -9.024127
  -8.837735  -8.65747   -8.48301   -8.314091  -8.150461  -7.991893
  -7.838132  -7.689005  -7.544319  -7.403847  -7.267458  -7.134967
  -7.006252  -6.881104  -6.759439  -6.6411    -6.525975  -6.413909
  -6.304839  -6.198623  -6.095167  -5.994371]"
imim,CL,imim_N_tetramer,"[ 1.5  1.6  1.7  1.8  1.9  2.   2.1  2.2  2.3  2.4  2.5  2.6  2.7  2.8
  2.9  3.   3.1  3.2  3.3  3.4  3.5  3.6  3.7  3.8  3.9  4.   4.1  4.2
  4.3  4.4  4.5  4.6  4.7  4.8  4.9  5.   5.1  5.2  5.3  5.4  5.5  5.6
  5.7  5.8  5.9  6.   6.1  6.2  6.3  6.4  6.5  6.6  6.7  6.8  6.9  7.
  7.1  7.2  7.3  7.4  7.5  7.6  7.7  7.8  7.9  8.   8.1  8.2  8.3  8.4
  8.5  8.6  8.7  8.8  8.9  9.   9.1  9.2  9.3  9.4  9.5  9.6  9.7  9.8
  9.9 10. ]","[ -83.108478  -92.812113 -100.745461 -107.041474 -111.854105 -115.347747
 -117.68877  -119.039207 -119.552051 -119.368218 -118.614916 -117.404823
 -115.836047 -113.992802 -111.946357 -109.756212 -107.471434 -105.13186
 -102.769551 -100.409847  -98.072447  -95.772414  -93.52094   -91.32615
  -89.193589  -87.126907  -85.128079  -83.19788   -81.336129  -79.541915
  -77.813838  -76.150011  -74.548377  -73.006635  -71.522446  -70.093382
  -68.717019  -67.391027  -66.113079  -64.881029  -63.692744  -62.546272
  -61.439762  -60.371378  -59.339477  -58.342428  -57.378669  -56.446688
  -55.545057  -54.672341  -53.827187  -53.008288  -52.21438   -51.44427
  -50.696815  -49.97097   -49.265672  -48.580034  -47.913156  -47.264201
  -46.632422  -46.017091  -45.417548  -44.833145  -44.263315  -43.707512
  -43.165154  -42.635845  -42.119047  -41.614368  -41.121335  -40.639598
  -40.168764  -39.708465  -39.258344  -38.818099  -38.387405  -37.965931
  -37.553407  -37.14957   -36.754136  -36.366871  -35.987477  -35.615756
  -35.2515    -34.894441]"
mguan,CL,h11_180,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[ -88.957781  -96.066963  -99.964273 -101.650651 -101.824079 -100.974622
  -99.447272  -97.485143  -95.259289  -92.889521  -90.459013  -88.024835
  -85.625481  -83.286286  -81.023283  -78.845847  -76.758568  -74.762645
  -72.856949  -71.038862  -69.304835  -67.650885  -66.072751  -64.566259
  -63.1273    -61.751976  -60.436645  -59.177948  -57.972808  -56.818434
  -55.712274  -54.651997  -53.635438  -52.660562  -51.72542   -50.828112
  -49.96677   -49.139542  -48.344589  -47.580094  -46.844271  -46.13539
  -45.451783  -44.791868  -44.154157  -43.537262]"
mguan,CL,h12_180,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[ -89.197523  -96.345019 -100.273203 -101.984217 -102.177265 -101.343374
  -99.828419  -97.876221  -95.658407  -93.295223  -90.870218  -88.440728
  -86.045409  -83.709714  -81.449707  -79.27478   -77.189503  -75.195062
  -73.290326  -71.472674  -69.738592  -68.084108  -66.505068  -64.997311
  -63.556774  -62.179619  -60.862245  -59.601336  -58.393853  -57.23703
  -56.128348  -55.065494  -54.04632   -53.068802  -52.130997  -51.23101
  -50.366975  -49.537036  -48.739352  -47.9721    -47.233495  -46.521799
  -45.835344  -45.172545  -44.531914  -43.912064]"
mguan,CL,h31_180,"[1.5 1.6 1.7 1.8 1.9 2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2
 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.
 5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]","[ -92.710188  -99.75248  -103.580682 -105.194551 -105.291722 -104.362399
 -102.75215  -100.704856  -98.392352  -95.935251  -93.417454  -90.896635
  -88.411792  -85.98867   -83.643604  -81.386226  -79.221313  -77.150184
  -75.171817  -73.283598  -71.481978  -69.762888  -68.122012  -66.555022
  -65.057671  -63.625959  -62.256092  -60.944628  -59.688411  -58.484569
  -57.330525  -56.22393   -55.162622  -54.14458   -53.167876  -52.230634
  -51.330999  -50.467119  -49.637141  -48.839212  -48.0715    -47.332206
  -46.619589  -45.931983  -45.267813  -44.625604]"
mguan,CL,n1_perp,"[2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5 3.6 3.7
 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.  5.1 5.2 5.3 5.4 5.5
 5.6 5.7 5.8 5.9 6. ]","[-14.152741 -34.910384 -50.343983 -61.555493 -69.495094 -74.937887
 -78.497314 -80.64998  -81.761434 -82.109315 -81.902719 -81.298121
 -80.412071 -79.331178 -78.119619 -76.824831 -75.481734 -74.115904
 -72.745966 -71.385363 -70.043676 -68.727605 -67.441692 -66.188879
 -64.97093  -63.788759 -62.642674 -61.532561 -60.458013 -59.418416
 -58.413004 -57.440898 -56.501122 -55.592621 -54.714269 -53.864885
 -53.043244 -52.248095 -51.478174 -50.732231 -50.009037]"
mguan,CL,n3_perp,"[2.  2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3.  3.1 3.2 3.3 3.4 3.5 3.6 3.7
 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5.  5.1 5.2 5.3 5.4 5.5
 5.6 5.7 5.8 5.9 6. ]","[-12.564359 -34.59185  -51.072591 -63.118525 -71.700479 -77.619158
 -81.514492 -83.888016 -85.127531 -85.529962 -85.320796 -84.670322
 -83.706587 -82.525526 -81.198754 -79.779494 -78.307078 -76.810382
 -75.310432 -73.822356 -72.356854 -70.921324 -69.520685 -68.15804
 -66.835175 -65.55293  -64.311485 -63.110566 -61.949601 -60.827805
 -59.744265 -58.697969 -57.687838 -56.712734 -55.771466 -54.862797
 -53.985442 -53.138082 -52.319367 -51.527938 -50.762435]"
